rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,rank124,rank125,rank126,rank127,rank128,rank129,rank130,rank131,rank132,rank133,rank134,rank135,rank136,rank137,rank138,rank139,rank140,rank141,rank142,rank143,rank144,rank145,rank146,rank147,rank148,rank149,rank150,rank151,rank152,rank153,rank154,rank155,rank156,rank157,rank158,rank159,rank160,rank161,rank162,rank163,rank164,rank165,rank166,rank167,rank168,rank169,Num Cands,Num Seats
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,10,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,11,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,5,169,169,169,169,169,169,169,169,169,9,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,12,169,169,169,169,169,169,169,8,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,13,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,14,169,169,169,169,9,169,169,169,11,169,169,169,169,169,169,169,169,169,169,169,169,7,169,12,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,10,169,169,169,4,169,15,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,8,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,8,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,10,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,11,3,169,169,169,169,12,169,9,13,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,,
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,3,168,4,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,1,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,3,168,168,168,168,1,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,2,4,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,169,168,168,168,2,168,168,168,168,168,168,168,168,6,168,168,168,168,168,168,168,168,168,168,4,168,168,168,168,168,168,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,12,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,8,10,169,169,169,169,169,169,11,169,169,169,169,169,169,169,5,169,169,169,169,169,6,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,9,169,3,169,1,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,8,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,6,169,169,169,169,4,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,5,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,9,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,10,169,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,8,169,169,169,169,169,169,169,169,169,169,1,169,169,11,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,8,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,10,5,11,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,9,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,9,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,4,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,8,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,6,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,10,169,169,5,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,2,169,5,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,10,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,8,169,169,169,169,169,169,169,169,169,169,169,169,169,169,7,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,9,169,169,169,169,169,6,169,169,11,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,3,169,169,169,169,169,169,169,1,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,4,169,7,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,1,169,3,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,5,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,6,169,169,169,169,169,2,169,169,169,169,169,169,,
