Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,Num cands,Num seats
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,writein,skipped,skipped,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 055,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 056,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 064,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 075,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 061,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 057,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,writein,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,writein,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 075,,2021P2V1_ELE,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 073,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 072,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 074,,2021P2V1_ELE,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 071,,2021P2V1_ELE,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 076,,2021P2V1_ELE,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
