rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
7,7,7,1,7,7,1,Unknown,
6,4,1,5,7,3,2,Unknown,
7,3,2,1,7,7,7,Unknown,
1,6,3,7,2,5,4,Unknown,
1,6,5,4,3,1,7,Unknown,
1,7,7,4,2,7,7,Unknown,
3,6,7,1,2,5,4,Unknown,
4,7,3,1,2,6,5,Unknown,
6,3,4,1,5,2,7,Unknown,
2,3,7,1,6,5,4,Unknown,
2,1,5,3,7,4,6,Unknown,
5,4,2,1,6,3,7,Unknown,
7,7,7,1,1,7,7,Unknown,
3,2,4,1,7,7,7,Unknown,
6,2,5,1,4,3,7,Unknown,
7,1,5,4,4,7,4,Unknown,
4,3,7,5,6,2,1,Unknown,
2,1,7,4,6,5,3,Unknown,
7,2,3,1,5,4,6,Unknown,
3,5,2,7,4,7,1,Unknown,
5,6,7,1,3,2,4,Unknown,
7,7,7,1,7,7,7,Unknown,
1,7,7,7,7,7,1,Unknown,
2,7,5,3,4,6,1,Unknown,
7,7,2,1,3,7,7,Unknown,
7,3,4,1,2,6,5,Unknown,
7,7,7,7,7,1,7,Unknown,
2,6,7,1,4,5,3,Unknown,
6,7,5,4,3,2,1,Unknown,
2,4,6,1,3,7,5,Unknown,
6,4,2,1,7,3,5,Unknown,
7,7,7,1,7,1,1,Unknown,
3,7,1,2,4,5,6,Unknown,
7,5,2,1,3,6,4,Unknown,
3,2,7,7,7,7,1,Unknown,
7,7,2,1,5,7,3,Unknown,
1,7,7,7,7,7,7,Unknown,
7,4,2,1,7,4,3,Unknown,
5,2,1,4,3,7,6,Unknown,
5,2,1,3,7,6,4,Unknown,
2,4,5,7,6,3,1,Unknown,
7,7,2,7,7,1,7,Unknown,
1,7,7,2,7,7,7,Unknown,
4,3,1,5,7,6,2,Unknown,
5,2,4,1,3,7,6,Unknown,
3,6,4,2,5,7,1,Unknown,
4,1,5,7,3,6,2,Unknown,
4,3,1,6,7,5,2,Unknown,
3,5,7,2,4,6,1,Unknown,
1,2,3,7,7,7,7,Unknown,
5,3,4,1,7,2,6,Unknown,
5,4,6,2,7,3,1,Unknown,
5,3,4,1,7,2,6,Unknown,
7,7,1,7,7,7,7,Unknown,
7,5,1,2,4,3,6,Unknown,
4,1,7,3,6,2,5,Unknown,
7,2,3,4,7,1,7,Unknown,
5,6,7,1,3,4,2,Unknown,
5,6,2,1,3,7,4,Unknown,
7,7,7,7,2,1,7,Unknown,
2,7,6,5,3,1,4,Unknown,
7,1,3,2,4,5,6,Unknown,
2,1,4,3,7,7,7,Unknown,
1,7,2,6,4,3,5,Unknown,
3,7,4,2,7,7,1,Unknown,
3,1,4,2,7,7,7,Unknown,
3,7,6,2,5,1,4,Unknown,
7,7,7,7,1,2,7,Unknown,
4,1,3,3,7,2,6,Unknown,
3,1,2,5,4,7,6,Unknown,
3,7,6,1,6,4,2,Unknown,
6,5,3,2,4,7,1,Unknown,
7,7,4,2,1,3,7,Unknown,
7,3,2,1,7,7,7,Unknown,
4,7,5,6,1,3,2,Unknown,
7,4,7,3,2,5,1,Unknown,
7,1,7,7,7,7,2,Unknown,
5,4,6,3,2,1,7,Unknown,
5,2,3,1,7,4,5,Unknown,
4,2,7,1,3,6,5,Unknown,
7,7,1,7,7,7,7,Unknown,
1,2,3,5,6,4,7,Unknown,
7,7,7,1,1,7,7,Unknown,
6,4,1,3,2,7,5,Unknown,
1,7,7,7,7,7,1,Unknown,
6,2,7,4,5,1,3,Unknown,
2,4,6,5,7,1,3,Unknown,
5,6,7,3,2,1,4,Unknown,
6,4,7,1,5,2,3,Unknown,
5,4,7,1,3,6,2,Unknown,
6,7,5,2,4,3,1,Unknown,
7,4,5,1,2,6,3,Unknown,
3,7,5,1,1,6,4,Unknown,
6,7,5,1,3,2,4,Unknown,
2,2,1,1,7,7,7,Unknown,
6,4,3,1,7,5,2,Unknown,
3,1,2,7,7,7,7,Unknown,
7,7,7,1,2,7,7,Unknown,
2,4,7,1,7,5,7,Unknown,
2,6,5,1,7,4,3,Unknown,
6,7,5,3,2,1,4,Unknown,
2,4,7,1,5,6,3,Unknown,
7,4,3,1,7,2,7,Unknown,
5,4,6,2,1,7,3,Unknown,
6,5,3,2,1,4,7,Unknown,
2,1,7,1,7,7,3,Unknown,
7,7,2,3,4,1,7,Unknown,
7,7,1,7,2,7,7,Unknown,
2,1,3,4,6,5,7,Unknown,
7,4,3,1,2,5,6,Unknown,
7,7,1,7,7,7,7,Unknown,
7,1,7,1,4,7,7,Unknown,
2,7,7,7,3,1,7,Unknown,
7,3,1,6,7,2,7,Unknown,
7,3,2,1,5,4,6,Unknown,
2,7,6,4,5,3,1,Unknown,
1,1,4,5,7,3,7,Unknown,
7,4,3,1,7,2,7,Unknown,
6,3,7,4,1,2,5,Unknown,
4,1,3,2,6,5,7,Unknown,
6,7,2,1,3,4,5,Unknown,
3,7,6,5,1,2,4,Unknown,
1,2,5,3,7,4,6,Unknown,
1,3,4,2,6,5,7,Unknown,
7,7,7,7,7,1,2,Unknown,
7,4,2,3,6,1,5,Unknown,
1,7,7,1,7,7,7,Unknown,
6,4,1,2,7,5,3,Unknown,
2,1,7,7,7,7,7,Unknown,
7,7,2,1,3,7,4,Unknown,
2,7,6,1,5,4,3,Unknown,
2,7,4,3,6,5,1,Unknown,
7,3,2,1,4,6,5,Unknown,
4,2,6,1,3,7,5,Unknown,
6,7,1,2,6,7,7,Unknown,
7,4,3,2,6,1,5,Unknown,
7,5,3,1,4,2,6,Unknown,
3,7,6,5,2,4,1,Unknown,
7,1,7,7,7,2,3,Unknown,
6,7,4,1,5,3,2,Unknown,
5,7,1,3,4,2,6,Unknown,
6,5,4,1,3,2,7,Unknown,
1,7,7,2,7,7,3,Unknown,
7,7,7,1,7,7,2,Unknown,
1,7,2,6,3,5,4,Unknown,
2,3,4,1,6,7,5,Unknown,
5,6,7,1,3,4,2,Unknown,
3,5,6,2,4,7,1,Unknown,
5,3,4,2,7,1,6,Unknown,
4,7,3,1,2,6,5,Unknown,
7,6,2,4,3,1,5,Unknown,
5,3,4,1,1,7,6,Unknown,
3,7,6,1,2,5,4,Unknown,
4,3,4,7,7,1,2,Unknown,
6,7,5,4,3,1,2,Unknown,
4,7,1,2,1,3,2,Unknown,
7,7,2,1,7,7,7,Unknown,
7,3,2,4,7,1,7,Unknown,
7,7,2,1,7,7,7,Unknown,
7,2,1,3,7,1,7,Unknown,
3,1,5,4,7,6,2,Unknown,
1,5,7,2,7,4,3,Unknown,
7,7,7,7,2,3,1,Unknown,
6,2,7,1,4,3,5,Unknown,
4,5,1,2,3,6,7,Unknown,
7,4,1,2,7,3,7,Unknown,
2,3,4,7,1,5,6,Unknown,
1,2,4,3,7,7,7,Unknown,
7,1,7,7,1,7,7,Unknown,
7,1,7,2,1,7,7,Unknown,
3,6,7,5,4,2,1,Unknown,
6,3,4,7,1,5,2,Unknown,
2,3,7,1,7,7,4,Unknown,
4,1,6,7,3,5,2,Unknown,
5,2,1,3,6,4,7,Unknown,
3,7,2,1,7,4,7,Unknown,
7,1,7,7,7,7,1,Unknown,
7,1,2,4,6,3,5,Unknown,
7,1,3,5,4,2,6,Unknown,
5,7,6,1,4,2,3,Unknown,
3,1,2,7,4,5,6,Unknown,
6,4,7,3,5,1,2,Unknown,
5,3,4,1,2,7,6,Unknown,
7,7,3,3,1,2,7,Unknown,
7,2,3,1,4,6,5,Unknown,
1,4,7,2,5,3,6,Unknown,
3,1,2,4,5,6,7,Unknown,
7,5,3,2,7,4,1,Unknown,
2,4,7,5,3,6,1,Unknown,
4,5,3,1,7,2,6,Unknown,
3,6,7,5,2,4,1,Unknown,
4,5,7,2,1,6,3,Unknown,
7,1,7,7,2,7,7,Unknown,
6,3,7,2,1,4,5,Unknown,
2,6,7,3,1,5,4,Unknown,
1,6,4,2,7,5,3,Unknown,
7,3,7,1,3,2,7,Unknown,
5,1,7,3,2,6,4,Unknown,
2,3,6,7,1,2,5,Unknown,
6,4,7,1,7,3,5,Unknown,
4,3,1,2,5,6,7,Unknown,
7,2,1,3,7,4,7,Unknown,
5,3,2,1,7,7,4,Unknown,
2,4,3,1,6,7,5,Unknown,
5,7,6,3,2,4,1,Unknown,
1,7,6,3,4,5,2,Unknown,
5,7,6,5,5,5,5,Unknown,
3,5,6,4,2,7,1,Unknown,
1,1,7,1,7,7,7,Unknown,
6,2,7,1,3,4,5,Unknown,
3,7,7,7,1,7,2,Unknown,
7,7,7,1,2,3,7,Unknown,
7,6,4,6,2,1,3,Unknown,
1,5,4,2,7,6,3,Unknown,
5,7,1,2,4,3,6,Unknown,
2,7,6,4,3,5,1,Unknown,
1,7,3,2,4,5,6,Unknown,
6,7,3,2,5,5,1,Unknown,
2,7,1,7,3,7,7,Unknown,
4,6,7,5,3,1,2,Unknown,
4,2,1,5,6,3,7,Unknown,
1,5,3,2,6,4,7,Unknown,
2,1,7,4,3,6,5,Unknown,
7,1,7,7,7,7,2,Unknown,
7,7,7,1,7,7,2,Unknown,
4,7,7,3,2,7,1,Unknown,
7,2,1,4,6,3,5,Unknown,
6,4,1,5,7,3,2,Unknown,
7,4,5,1,3,6,2,Unknown,
5,7,4,1,2,6,3,Unknown,
3,5,6,1,2,7,4,Unknown,
7,1,7,2,7,7,7,Unknown,
6,7,5,1,2,4,3,Unknown,
7,6,2,3,4,5,1,Unknown,
4,2,7,1,3,7,4,Unknown,
7,7,7,1,2,7,7,Unknown,
4,6,1,2,5,7,3,Unknown,
7,3,1,2,7,7,7,Unknown,
7,7,7,7,2,7,1,Unknown,
2,3,1,7,4,7,7,Unknown,
3,4,2,1,6,5,7,Unknown,
1,4,7,2,7,7,3,Unknown,
3,5,4,1,6,7,2,Unknown,
1,7,5,2,3,6,4,Unknown,
2,7,4,6,4,5,1,Unknown,
1,7,1,7,3,7,3,Unknown,
7,7,7,1,2,4,3,Unknown,
7,7,7,7,7,1,7,Unknown,
7,1,7,7,7,1,7,Unknown,
7,2,7,7,7,1,7,Unknown,
5,1,3,4,2,7,6,Unknown,
4,2,7,2,4,7,1,Unknown,
7,4,1,3,5,2,6,Unknown,
1,2,3,4,5,7,6,Unknown,
7,5,4,3,6,1,2,Unknown,
7,1,2,3,4,5,6,Unknown,
1,7,6,5,4,3,2,Unknown,
7,7,1,2,4,7,7,Unknown,
1,3,4,2,6,7,5,Unknown,
7,2,7,1,7,7,7,Unknown,
6,5,1,4,7,2,3,Unknown,
5,4,3,1,7,2,6,Unknown,
3,5,7,6,1,4,2,Unknown,
3,6,4,7,1,5,2,Unknown,
3,7,4,7,4,1,2,Unknown,
4,2,1,7,3,5,6,Unknown,
7,7,4,2,7,1,3,Unknown,
4,6,7,5,2,1,3,Unknown,
6,3,7,1,4,2,5,Unknown,
5,2,6,1,3,4,7,Unknown,
6,1,7,3,2,4,5,Unknown,
2,1,6,7,3,5,4,Unknown,
5,3,4,1,7,7,2,Unknown,
4,1,3,6,2,5,7,Unknown,
7,7,2,1,7,4,3,Unknown,
7,7,7,7,7,7,7,Unknown,
1,6,7,2,3,4,5,Unknown,
4,7,5,1,3,6,2,Unknown,
4,6,1,2,3,7,5,Unknown,
2,7,6,1,3,5,4,Unknown,
4,6,3,1,7,2,5,Unknown,
7,6,4,1,2,5,3,Unknown,
5,7,1,3,2,6,4,Unknown,
3,6,4,7,1,5,2,Unknown,
3,5,6,1,4,7,2,Unknown,
2,4,1,7,3,6,5,Unknown,
4,7,3,1,2,7,1,Unknown,
7,5,7,1,4,3,2,Unknown,
7,3,2,1,5,6,4,Unknown,
3,6,7,5,4,2,2,Unknown,
7,5,1,3,4,2,6,Unknown,
4,6,5,1,3,7,2,Unknown,
6,7,1,2,5,4,3,Unknown,
2,3,1,7,4,7,7,Unknown,
2,7,7,3,7,7,1,Unknown,
7,5,2,1,3,4,7,Unknown,
7,2,3,1,7,7,4,Unknown,
