Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,numSeats,numCands
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 071,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,skipped,1,4
AD: 29 ED: 055,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,writein,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,writein,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 056,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,skipped,skipped,skipped,1,4
AD: 29 ED: 057,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,writein,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 058,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Nicole S. Lee,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Selvena N. Brooks-Powers,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nancy J. Martinez,Selvena N. Brooks-Powers,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,skipped,skipped,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nancy J. Martinez,Nicole S. Lee,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 059,DEM ABS Ballot Style 47,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
AD: 29 ED: 061,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Selvena N. Brooks-Powers,Nicole S. Lee,Nancy J. Martinez,skipped,1,4
AD: 29 ED: 061,DEM ABS Ballot Style 48,2021P4V1_ABS_DEM,Nicole S. Lee,Nancy J. Martinez,Selvena N. Brooks-Powers,skipped,1,4
