1 1 3 4 2 6 5 7 0
1 1 3 4 2 6 7 5 0
1 1 3 4 2 7 5 0
10 1 3 4 2 7 5 6 0
2 1 3 4 5 0
2 1 3 4 5 2 0
2 1 3 4 5 2 6 7 0
3 1 3 4 5 2 7 6 0
1 1 3 4 5 6 2 7 0
5 1 3 4 5 7 2 6 0
2 1 3 4 5 7 6 2 0
1 1 3 4 6 2 5 7 0
2 1 3 4 6 2 7 5 0
2 1 3 4 6 7 5 2 0
4 1 3 4 7 0
9 1 3 4 7 2 5 6 0
1 1 3 4 7 2 6 5 0
14 1 3 4 7 5 2 6 0
1 1 3 4 7 6 0
4 1 3 4 7 6 2 5 0
2 1 3 4 7 6 5 2 0
11 1 3 5 0
1 1 3 5 2 0
13 1 3 5 2 4 7 6 0
5 1 3 5 2 7 4 6 0
1 1 3 5 4 0
1 1 3 5 4 2 0
4 1 3 5 4 2 7 6 0
1 1 3 5 4 6 2 7 0
9 1 3 5 4 7 2 6 0
2 1 3 5 4 7 6 2 0
1 1 3 5 6 2 7 4 0
6 1 3 5 7 2 4 6 0
1 1 3 5 7 2 6 4 0
13 1 3 5 7 4 2 6 0
1 1 3 5 7 4 6 2 0
3 1 3 5 7 6 2 4 0
1 1 3 5 7 6 4 2 0
16 1 3 6 0
6 1 3 6 2 4 7 5 0
1 1 3 6 2 5 4 7 0
1 1 3 6 2 5 7 4 0
1 1 3 6 2 7 4 5 0
2 1 3 6 2 7 5 4 0
1 1 3 6 4 0
3 1 3 6 4 2 7 5 0
1 1 3 6 4 7 2 5 0
2 1 3 6 4 7 5 2 0
1 1 3 6 5 2 4 7 0
2 1 3 6 5 4 2 7 0
1 1 3 6 5 4 7 2 0
2 1 3 6 5 7 2 4 0
7 1 3 6 7 0
3 1 3 6 7 2 4 5 0
2 1 3 6 7 2 5 4 0
1 1 3 6 7 4 2 5 0
4 1 3 6 7 4 5 2 0
4 1 3 6 7 5 2 4 0
3 1 3 6 7 5 4 2 0
44 1 3 7 0
5 1 3 7 2 0
1 1 3 7 2 4 5 0
17 1 3 7 2 4 5 6 0
1 1 3 7 2 5 0
21 1 3 7 2 5 4 6 0
4 1 3 7 2 5 6 4 0
5 1 3 7 2 6 4 5 0
3 1 3 7 2 6 5 4 0
3 1 3 7 4 0
16 1 3 7 4 2 5 6 0
1 1 3 7 4 5 0
1 1 3 7 4 5 2 0
11 1 3 7 4 5 2 6 0
3 1 3 7 4 5 6 2 0
1 1 3 7 4 6 2 5 0
8 1 3 7 5 0
30 1 3 7 5 2 4 6 0
1 1 3 7 5 2 6 0
2 1 3 7 5 2 6 4 0
1 1 3 7 5 4 0
31 1 3 7 5 4 2 6 0
6 1 3 7 5 4 6 2 0
1 1 3 7 5 6 2 0
2 1 3 7 5 6 2 4 0
1 1 3 7 5 6 4 2 0
3 1 3 7 6 0
5 1 3 7 6 2 4 5 0
1 1 3 7 6 2 5 4 0
2 1 3 7 6 4 2 5 0
1 1 3 7 6 4 5 2 0
2 1 3 7 6 5 2 4 0
4 1 3 7 6 5 4 2 0
30 1 4 0
2 1 4 2 0
1 1 4 2 3 0
2 1 4 2 3 5 0
2 1 4 2 3 7 5 6 0
1 1 4 2 3 7 6 5 0
1 1 4 2 5 3 6 7 0
1 1 4 2 5 3 7 6 0
4 1 4 2 5 7 3 6 0
2 1 4 2 6 3 7 5 0
1 1 4 2 7 0
2 1 4 2 7 3 5 6 0
1 1 4 2 7 5 0
4 1 4 2 7 5 3 6 0
8 1 4 3 0
1 1 4 3 2 5 7 6 0
1 1 4 3 5 0
1 1 4 3 5 2 7 6 0
7 1 4 3 5 7 2 6 0
2 1 4 3 5 7 6 2 0
2 1 4 3 6 0
2 1 4 3 6 7 5 2 0
1 1 4 3 7 0
7 1 4 3 7 2 5 6 0
3 1 4 3 7 5 2 6 0
4 1 4 5 0
1 1 4 5 2 0
1 1 4 5 2 3 6 7 0
3 1 4 5 2 3 7 6 0
1 1 4 5 2 6 7 3 0
6 1 4 5 2 7 3 6 0
2 1 4 5 3 0
4 1 4 5 3 2 7 6 0
2 1 4 5 3 6 2 7 0
3 1 4 5 3 7 2 6 0
1 1 4 5 3 7 6 2 0
1 1 4 5 6 2 3 7 0
1 1 4 5 6 2 7 3 0
1 1 4 5 6 3 2 7 0
1 1 4 5 6 3 7 2 0
2 1 4 5 6 7 2 3 0
1 1 4 5 7 0
3 1 4 5 7 2 3 6 0
1 1 4 5 7 2 6 3 0
1 1 4 5 7 3 0
2 1 4 5 7 3 2 6 0
1 1 4 5 7 3 6 2 0
2 1 4 5 7 6 2 3 0
1 1 4 6 0
1 1 4 6 2 7 3 5 0
1 1 4 6 3 2 7 5 0
1 1 4 6 3 7 5 0
1 1 4 6 3 7 5 2 0
1 1 4 6 5 2 7 3 0
2 1 4 6 5 7 2 3 0
1 1 4 6 7 3 5 0
4 1 4 7 0
2 1 4 7 2 3 5 6 0
1 1 4 7 2 5 6 3 0
1 1 4 7 2 6 3 5 0
4 1 4 7 3 0
4 1 4 7 3 5 2 6 0
1 1 4 7 3 5 6 2 0
1 1 4 7 3 6 2 5 0
1 1 4 7 5 2 0
5 1 4 7 5 2 3 6 0
4 1 4 7 5 2 6 3 0
1 1 4 7 5 3 0
2 1 4 7 5 3 2 6 0
1 1 4 7 5 3 6 0
2 1 4 7 5 6 3 2 0
1 1 4 7 6 3 5 0
26 1 5 0
1 1 5 2 0
1 1 5 2 3 0
1 1 5 2 3 4 7 0
1 1 5 2 3 4 7 6 0
1 1 5 2 3 7 4 6 0
1 1 5 2 3 7 6 4 0
2 1 5 2 4 0
1 1 5 2 4 3 6 7 0
1 1 5 2 4 3 7 6 0
2 1 5 2 4 7 3 6 0
3 1 5 2 4 7 6 3 0
1 1 5 2 6 3 4 7 0
1 1 5 2 6 3 7 4 0
1 1 5 2 6 4 3 7 0
1 1 5 2 7 0
1 1 5 2 7 3 0
2 1 5 2 7 3 4 6 0
2 1 5 2 7 3 6 4 0
1 1 5 2 7 4 6 3 0
1 1 5 2 7 6 4 3 0
9 1 5 3 0
5 1 5 3 2 4 7 6 0
1 1 5 3 2 7 0
1 1 5 3 2 7 4 6 0
1 1 5 3 2 7 6 4 0
1 1 5 3 4 0
1 1 5 3 4 2 0
4 1 5 3 4 2 7 6 0
2 1 5 3 4 7 2 6 0
1 1 5 3 6 2 4 7 0
5 1 5 3 7 2 4 6 0
2 1 5 3 7 2 6 4 0
7 1 5 3 7 4 2 6 0
1 1 5 3 7 4 6 2 0
15 1 5 4 0
1 1 5 4 2 3 0
1 1 5 4 2 3 6 7 0
2 1 5 4 2 3 7 6 0
1 1 5 4 2 6 3 7 0
2 1 5 4 2 6 7 3 0
8 1 5 4 2 7 3 6 0
5 1 5 4 2 7 6 3 0
1 1 5 4 3 2 6 0
1 1 5 4 3 2 6 7 0
4 1 5 4 3 2 7 6 0
2 1 5 4 3 6 2 7 0
1 1 5 4 3 6 7 2 0
4 1 5 4 3 7 2 6 0
2 1 5 4 6 2 7 3 0
1 1 5 4 6 3 2 7 0
1 1 5 4 6 3 7 0
3 1 5 4 6 7 2 3 0
1 1 5 4 7 0
6 1 5 4 7 2 3 6 0
2 1 5 4 7 2 6 3 0
5 1 5 4 7 3 2 6 0
4 1 5 4 7 3 6 2 0
6 1 5 6 0
1 1 5 6 2 7 3 4 0
2 1 5 6 2 7 4 3 0
1 1 5 6 3 0
3 1 5 6 3 2 4 7 0
1 1 5 6 3 2 7 4 0
2 1 5 6 3 7 2 4 0
3 1 5 6 4 0
1 1 5 6 4 7 3 2 0
1 1 5 6 7 2 3 4 0
1 1 5 6 7 4 2 3 0
4 1 5 7 0
1 1 5 7 2 3 4 6 0
2 1 5 7 2 3 6 4 0
4 1 5 7 2 4 3 6 0
6 1 5 7 2 4 6 3 0
3 1 5 7 3 0
1 1 5 7 3 2 0
9 1 5 7 3 2 4 6 0
3 1 5 7 3 4 2 6 0
1 1 5 7 3 4 6 2 0
1 1 5 7 3 6 4 2 0
1 1 5 7 4 2 0
8 1 5 7 4 2 3 6 0
11 1 5 7 4 2 6 3 0
4 1 5 7 4 3 2 6 0
3 1 5 7 4 6 3 2 0
1 1 5 7 6 0
1 1 5 7 6 3 2 4 0
1 1 5 7 6 3 4 2 0
1 1 5 7 6 4 2 3 0
27 1 6 0
2 1 6 2 0
1 1 6 2 3 5 7 4 0
1 1 6 2 3 7 5 4 0
1 1 6 2 4 3 7 5 0
1 1 6 2 4 7 5 3 0
1 1 6 2 5 7 3 4 0
2 1 6 2 7 3 5 4 0
1 1 6 2 7 5 3 4 0
7 1 6 3 0
4 1 6 3 2 4 7 5 0
1 1 6 3 2 5 4 7 0
2 1 6 3 2 5 7 4 0
1 1 6 3 4 2 7 5 0
1 1 6 3 4 5 2 7 0
1 1 6 3 4 5 7 2 0
1 1 6 3 4 7 0
2 1 6 3 4 7 2 5 0
1 1 6 3 5 2 4 7 0
2 1 6 3 5 4 7 2 0
2 1 6 3 7 0
3 1 6 3 7 2 5 4 0
1 1 6 3 7 4 2 5 0
4 1 6 3 7 5 2 4 0
1 1 6 3 7 5 4 2 0
7 1 6 4 0
1 1 6 4 2 3 5 7 0
1 1 6 4 2 3 7 5 0
1 1 6 4 3 5 2 7 0
1 1 6 4 3 5 7 2 0
1 1 6 4 5 3 7 2 0
1 1 6 4 5 7 2 3 0
1 1 6 4 7 2 3 5 0
1 1 6 4 7 5 3 0
1 1 6 4 7 5 3 2 0
1 1 6 5 0
1 1 6 5 2 3 7 4 0
1 1 6 5 3 4 7 2 0
1 1 6 5 4 0
1 1 6 5 4 2 7 3 0
1 1 6 5 7 2 3 4 0
1 1 6 5 7 2 4 0
3 1 6 5 7 3 2 4 0
4 1 6 7 0
1 1 6 7 2 5 3 4 0
2 1 6 7 3 2 4 5 0
3 1 6 7 3 2 5 4 0
1 1 6 7 3 4 2 5 0
1 1 6 7 3 4 5 2 0
2 1 6 7 3 5 2 4 0
1 1 6 7 4 2 3 5 0
1 1 6 7 5 2 4 3 0
1 1 6 7 5 3 2 4 0
41 1 7 0
6 1 7 2 0
2 1 7 2 3 0
1 1 7 2 3 4 5 0
3 1 7 2 3 4 5 6 0
3 1 7 2 3 5 4 6 0
1 1 7 2 3 6 4 0
3 1 7 2 3 6 4 5 0
2 1 7 2 3 6 5 4 0
1 1 7 2 4 0
4 1 7 2 4 3 5 6 0
7 1 7 2 4 5 3 6 0
2 1 7 2 4 5 6 3 0
2 1 7 2 5 0
1 1 7 2 5 3 0
5 1 7 2 5 3 4 6 0
2 1 7 2 5 3 6 4 0
5 1 7 2 5 4 3 6 0
2 1 7 2 5 4 6 3 0
1 1 7 2 6 3 4 0
1 1 7 2 6 3 5 0
1 1 7 2 6 3 5 4 0
1 1 7 2 6 4 5 3 0
2 1 7 2 6 5 3 4 0
198 1 7 3 0
4 1 7 3 2 0
19 1 7 3 2 4 5 6 0
2 1 7 3 2 4 6 0
2 1 7 3 2 5 0
1 1 7 3 2 5 4 0
34 1 7 3 2 5 4 6 0
2 1 7 3 2 5 6 0
2 1 7 3 2 5 6 4 0
1 1 7 3 2 6 4 5 0
1 1 7 3 2 6 5 0
1 1 7 3 2 6 5 4 0
5 1 7 3 4 0
1 1 7 3 4 2 5 0
14 1 7 3 4 2 5 6 0
1 1 7 3 4 2 6 5 0
1 1 7 3 4 5 0
26 1 7 3 4 5 2 6 0
7 1 7 3 4 5 6 2 0
2 1 7 3 4 6 5 2 0
11 1 7 3 5 0
1 1 7 3 5 2 4 0
30 1 7 3 5 2 4 6 0
5 1 7 3 5 2 6 4 0
1 1 7 3 5 4 0
1 1 7 3 5 4 2 0
32 1 7 3 5 4 2 6 0
9 1 7 3 5 4 6 2 0
1 1 7 3 5 6 2 4 0
3 1 7 3 5 6 4 2 0
7 1 7 3 6 0
1 1 7 3 6 2 4 0
10 1 7 3 6 2 4 5 0
6 1 7 3 6 2 5 4 0
3 1 7 3 6 4 2 5 0
1 1 7 3 6 4 5 2 0
1 1 7 3 6 5 0
9 1 7 3 6 5 2 4 0
4 1 7 3 6 5 4 2 0
4 1 7 4 0
5 1 7 4 2 3 5 6 0
1 1 7 4 2 3 6 0
1 1 7 4 2 3 6 5 0
2 1 7 4 2 5 3 6 0
1 1 7 4 2 5 6 3 0
1 1 7 4 2 6 3 5 0
1 1 7 4 3 0
4 1 7 4 3 2 5 6 0
2 1 7 4 3 5 0
5 1 7 4 3 5 2 6 0
1 1 7 4 3 6 2 5 0
3 1 7 4 5 0
8 1 7 4 5 2 3 6 0
1 1 7 4 5 2 6 3 0
3 1 7 4 5 3 2 6 0
1 1 7 4 5 3 6 2 0
2 1 7 4 6 3 2 5 0
6 1 7 5 0
3 1 7 5 2 3 4 6 0
7 1 7 5 2 4 3 6 0
1 1 7 5 2 4 6 3 0
1 1 7 5 2 6 3 4 0
1 1 7 5 2 6 4 3 0
5 1 7 5 3 0
9 1 7 5 3 2 4 6 0
5 1 7 5 3 4 2 6 0
1 1 7 5 3 4 6 0
6 1 7 5 3 4 6 2 0
1 1 7 5 3 6 2 4 0
1 1 7 5 3 6 4 2 0
2 1 7 5 4 0
12 1 7 5 4 2 3 6 0
4 1 7 5 4 2 6 3 0
1 1 7 5 4 3 0
1 1 7 5 4 3 2 0
4 1 7 5 4 3 2 6 0
6 1 7 5 4 3 6 2 0
1 1 7 5 4 6 2 3 0
1 1 7 5 6 2 3 4 0
2 1 7 5 6 3 2 4 0
1 1 7 5 6 4 2 3 0
13 1 7 6 0
2 1 7 6 2 3 5 4 0
1 1 7 6 3 0
3 1 7 6 3 2 4 5 0
1 1 7 6 3 2 5 4 0
1 1 7 6 3 5 2 4 0
2 1 7 6 3 5 4 2 0
2 1 7 6 4 5 2 3 0
1 1 7 6 5 2 3 4 0
353 2 0
5 2 1 0
1 2 1 3 4 0
1 2 1 3 4 5 7 6 0
1 2 1 3 4 6 7 5 0
1 2 1 3 5 4 7 6 0
1 2 1 3 6 4 7 5 0
1 2 1 3 6 5 7 4 0
1 2 1 3 7 0
1 2 1 4 3 7 5 6 0
1 2 1 4 3 7 6 5 0
1 2 1 4 5 3 7 6 0
1 2 1 4 5 7 3 6 0
1 2 1 4 7 5 3 6 0
1 2 1 5 4 7 3 6 0
1 2 1 5 6 3 7 4 0
1 2 1 5 7 3 0
1 2 1 5 7 6 3 4 0
1 2 1 5 7 6 4 3 0
2 2 1 6 3 7 5 4 0
3 2 1 6 5 7 3 4 0
1 2 1 6 5 7 4 3 0
3 2 1 7 0
1 2 1 7 3 4 5 6 0
1 2 1 7 3 5 4 6 0
1 2 1 7 3 6 4 5 0
1 2 1 7 5 3 4 6 0
1 2 1 7 5 3 6 4 0
2 2 1 7 5 4 3 6 0
1 2 1 7 5 4 6 3 0
3 2 3 0
1 2 3 1 5 4 7 6 0
2 2 3 1 5 7 4 6 0
1 2 3 1 6 7 4 5 0
1 2 3 1 7 4 6 5 0
2 2 3 1 7 5 6 0
1 2 3 4 0
2 2 3 4 1 5 7 6 0
1 2 3 4 5 1 7 6 0
1 2 3 4 7 0
1 2 3 4 7 1 5 6 0
1 2 3 4 7 5 1 6 0
1 2 3 5 1 6 4 7 0
1 2 3 5 1 7 4 6 0
1 2 3 5 6 4 1 7 0
1 2 3 5 7 1 4 6 0
1 2 3 5 7 4 6 1 0
2 2 3 6 0
1 2 3 6 1 4 7 5 0
1 2 3 6 4 1 5 7 0
1 2 3 6 4 5 7 1 0
1 2 3 6 4 7 5 1 0
1 2 3 6 5 7 4 1 0
2 2 3 6 7 4 5 1 0
1 2 3 6 7 5 4 1 0
1 2 3 7 1 0
2 2 3 7 1 4 5 6 0
1 2 3 7 1 5 4 6 0
1 2 3 7 1 5 6 4 0
1 2 3 7 1 6 4 5 0
1 2 3 7 1 6 5 4 0
2 2 3 7 4 1 0
1 2 3 7 4 1 5 6 0
1 2 3 7 4 6 1 0
1 2 3 7 5 1 4 6 0
1 2 3 7 5 4 6 1 0
1 2 3 7 6 1 5 4 0
1 2 3 7 6 4 1 5 0
1 2 3 7 6 5 1 4 0
19 2 4 0
1 2 4 1 0
1 2 4 1 3 0
1 2 4 1 5 3 6 7 0
1 2 4 1 5 3 7 6 0
1 2 4 1 5 7 3 0
1 2 4 1 5 7 3 6 0
1 2 4 1 5 7 6 3 0
1 2 4 1 7 3 5 6 0
1 2 4 1 7 5 3 6 0
2 2 4 1 7 5 6 3 0
1 2 4 3 0
2 2 4 3 1 5 7 6 0
1 2 4 3 1 7 5 6 0
2 2 4 3 7 1 6 5 0
2 2 4 3 7 5 1 6 0
1 2 4 3 7 5 6 1 0
5 2 4 5 0
1 2 4 5 1 0
1 2 4 5 1 3 7 6 0
1 2 4 5 1 6 7 3 0
1 2 4 5 1 7 0
1 2 4 5 1 7 3 0
2 2 4 5 1 7 3 6 0
2 2 4 5 1 7 6 3 0
1 2 4 5 3 0
1 2 4 5 3 1 7 6 0
1 2 4 5 3 6 7 1 0
1 2 4 5 3 7 6 1 0
1 2 4 5 6 0
1 2 4 5 6 1 3 7 0
3 2 4 5 6 3 1 7 0
1 2 4 5 6 3 7 1 0
1 2 4 5 6 7 1 3 0
3 2 4 5 7 1 3 6 0
3 2 4 5 7 1 6 3 0
2 2 4 5 7 3 1 6 0
6 2 4 5 7 6 1 3 0
1 2 4 5 7 6 3 1 0
1 2 4 6 0
1 2 4 6 3 1 5 7 0
1 2 4 6 3 7 5 1 0
1 2 4 6 5 1 0
1 2 4 6 5 1 3 0
1 2 4 6 5 3 1 0
1 2 4 6 5 7 1 3 0
2 2 4 6 5 7 3 1 0
1 2 4 6 7 3 1 5 0
1 2 4 6 7 3 5 1 0
1 2 4 6 7 5 3 1 0
5 2 4 7 0
1 2 4 7 1 3 5 6 0
1 2 4 7 1 3 6 5 0
1 2 4 7 1 5 3 6 0
1 2 4 7 1 6 5 3 0
2 2 4 7 3 5 1 6 0
3 2 4 7 5 0
10 2 4 7 5 1 3 6 0
9 2 4 7 5 1 6 3 0
5 2 4 7 5 3 1 6 0
2 2 4 7 5 3 6 1 0
1 2 4 7 5 6 1 3 0
5 2 4 7 5 6 3 1 0
2 2 4 7 6 1 5 3 0
2 2 4 7 6 3 5 1 0
5 2 4 7 6 5 3 1 0
10 2 5 0
2 2 5 1 0
2 2 5 1 3 7 4 6 0
1 2 5 1 3 7 6 4 0
1 2 5 1 6 4 7 3 0
1 2 5 1 7 4 3 6 0
1 2 5 1 7 4 6 3 0
1 2 5 1 7 6 4 3 0
1 2 5 3 1 6 4 7 0
1 2 5 3 4 6 1 7 0
1 2 5 3 6 1 7 4 0
1 2 5 3 6 4 7 1 0
3 2 5 4 0
1 2 5 4 1 7 6 3 0
1 2 5 4 3 7 6 1 0
1 2 5 4 6 3 1 7 0
2 2 5 4 6 3 7 1 0
2 2 5 4 6 7 1 3 0
1 2 5 4 6 7 3 1 0
4 2 5 4 7 1 3 6 0
3 2 5 4 7 3 6 1 0
2 2 5 4 7 6 1 3 0
1 2 5 4 7 6 3 1 0
2 2 5 6 1 3 4 7 0
1 2 5 6 4 1 7 3 0
2 2 5 6 4 7 1 3 0
1 2 5 6 4 7 3 1 0
1 2 5 6 7 4 1 3 0
1 2 5 7 0
1 2 5 7 1 4 3 6 0
1 2 5 7 1 4 6 3 0
1 2 5 7 1 6 3 0
1 2 5 7 1 6 3 4 0
1 2 5 7 3 1 4 6 0
1 2 5 7 3 1 6 4 0
1 2 5 7 4 0
1 2 5 7 4 1 3 6 0
1 2 5 7 4 3 6 1 0
3 2 5 7 4 6 3 1 0
1 2 5 7 6 4 1 3 0
14 2 6 0
1 2 6 1 0
1 2 6 1 4 3 7 5 0
1 2 6 3 0
1 2 6 3 4 0
1 2 6 3 4 1 7 5 0
1 2 6 3 4 5 1 7 0
1 2 6 3 4 5 7 1 0
1 2 6 3 4 7 1 5 0
4 2 6 3 4 7 5 1 0
1 2 6 3 7 1 4 5 0
1 2 6 3 7 1 5 4 0
1 2 6 3 7 4 0
5 2 6 4 0
1 2 6 4 3 5 7 1 0
1 2 6 4 3 7 5 1 0
1 2 6 4 5 7 1 3 0
2 2 6 4 5 7 3 1 0
2 2 6 4 7 1 5 3 0
1 2 6 4 7 3 1 5 0
1 2 6 4 7 3 5 1 0
5 2 6 4 7 5 1 3 0
2 2 6 4 7 5 3 1 0
1 2 6 5 1 7 4 3 0
1 2 6 5 3 4 7 1 0
1 2 6 5 4 1 0
1 2 6 5 7 1 3 0
3 2 6 5 7 4 3 1 0
1 2 6 7 0
1 2 6 7 1 3 4 0
1 2 6 7 1 3 4 5 0
1 2 6 7 1 5 3 4 0
1 2 6 7 3 1 4 5 0
1 2 6 7 3 4 5 1 0
1 2 6 7 3 5 1 4 0
1 2 6 7 4 5 1 3 0
4 2 6 7 4 5 3 1 0
1 2 6 7 5 1 4 3 0
1 2 6 7 5 3 1 0
1 2 6 7 5 4 1 3 0
2 2 6 7 5 4 3 1 0
13 2 7 0
2 2 7 1 3 0
2 2 7 1 3 4 6 5 0
2 2 7 1 3 5 4 6 0
2 2 7 1 3 5 6 4 0
1 2 7 1 3 6 4 5 0
1 2 7 1 3 6 5 4 0
1 2 7 1 4 0
1 2 7 1 4 3 5 6 0
1 2 7 1 4 5 3 6 0
1 2 7 1 4 6 5 3 0
1 2 7 1 5 3 4 6 0
2 2 7 1 5 3 6 4 0
1 2 7 1 5 4 3 6 0
1 2 7 1 5 4 6 3 0
1 2 7 1 5 6 3 4 0
1 2 7 1 5 6 4 3 0
2 2 7 1 6 3 4 5 0
4 2 7 3 0
1 2 7 3 1 4 0
3 2 7 3 1 5 4 6 0
1 2 7 3 5 1 4 6 0
1 2 7 3 6 1 4 5 0
1 2 7 4 1 3 0
3 2 7 4 1 3 5 6 0
4 2 7 4 5 1 3 6 0
1 2 7 4 5 1 6 3 0
3 2 7 4 5 3 1 6 0
1 2 7 4 5 6 0
2 2 7 4 5 6 1 3 0
3 2 7 4 5 6 3 0
4 2 7 4 5 6 3 1 0
1 2 7 4 6 3 0
1 2 7 4 6 3 1 5 0
1 2 7 4 6 3 5 1 0
1 2 7 4 6 5 1 3 0
1 2 7 4 6 5 3 1 0
1 2 7 5 0
2 2 7 5 1 3 4 6 0
2 2 7 5 1 3 6 4 0
1 2 7 5 1 4 3 6 0
1 2 7 5 1 4 6 3 0
1 2 7 5 1 6 3 0
2 2 7 5 1 6 3 4 0
1 2 7 5 1 6 4 3 0
1 2 7 5 3 4 6 1 0
1 2 7 5 3 6 1 4 0
1 2 7 5 3 6 4 1 0
1 2 7 5 4 1 3 6 0
4 2 7 5 4 1 6 3 0
3 2 7 5 4 3 1 6 0
2 2 7 5 4 3 6 1 0
3 2 7 5 4 6 1 3 0
1 2 7 5 4 6 3 1 0
2 2 7 5 6 1 3 4 0
1 2 7 5 6 4 1 3 0
1 2 7 6 0
1 2 7 6 1 3 0
1 2 7 6 1 4 5 3 0
3 2 7 6 1 5 3 4 0
1 2 7 6 3 1 4 5 0
1 2 7 6 3 1 5 4 0
4 2 7 6 3 4 5 1 0
1 2 7 6 5 4 1 3 0
3686 3 0
128 3 1 0
6 3 1 2 0
1 3 1 2 4 0
1 3 1 2 4 5 7 0
8 3 1 2 4 5 7 6 0
2 3 1 2 4 6 5 7 0
1 3 1 2 4 6 7 5 0
12 3 1 2 4 7 5 6 0
1 3 1 2 5 0
1 3 1 2 5 4 0
6 3 1 2 5 4 7 6 0
9 3 1 2 5 7 4 6 0
2 3 1 2 5 7 6 4 0
1 3 1 2 6 0
2 3 1 2 6 4 5 7 0
1 3 1 2 6 4 7 5 0
1 3 1 2 6 7 5 4 0
3 3 1 2 7 0
7 3 1 2 7 4 5 6 0
1 3 1 2 7 5 4 0
16 3 1 2 7 5 4 6 0
5 3 1 2 7 5 6 4 0
1 3 1 2 7 6 4 5 0
1 3 1 2 7 6 5 4 0
22 3 1 4 0
2 3 1 4 2 0
1 3 1 4 2 5 6 0
13 3 1 4 2 5 7 6 0
1 3 1 4 2 6 5 7 0
2 3 1 4 2 6 7 5 0
8 3 1 4 2 7 5 6 0
5 3 1 4 5 0
4 3 1 4 5 2 6 7 0
7 3 1 4 5 2 7 6 0
1 3 1 4 5 6 7 2 0
1 3 1 4 5 7 0
21 3 1 4 5 7 2 6 0
3 3 1 4 5 7 6 2 0
2 3 1 4 6 2 7 5 0
2 3 1 4 6 5 7 2 0
1 3 1 4 6 7 2 5 0
5 3 1 4 7 0
6 3 1 4 7 2 5 6 0
1 3 1 4 7 2 6 5 0
1 3 1 4 7 5 0
19 3 1 4 7 5 2 6 0
5 3 1 4 7 5 6 2 0
19 3 1 5 0
2 3 1 5 2 0
2 3 1 5 2 4 6 7 0
11 3 1 5 2 4 7 6 0
1 3 1 5 2 6 4 7 0
1 3 1 5 2 6 7 0
2 3 1 5 2 6 7 4 0
10 3 1 5 2 7 4 6 0
1 3 1 5 2 7 6 4 0
5 3 1 5 4 0
1 3 1 5 4 2 6 0
5 3 1 5 4 2 6 7 0
1 3 1 5 4 2 7 0
20 3 1 5 4 2 7 6 0
1 3 1 5 4 6 2 7 0
16 3 1 5 4 7 2 6 0
1 3 1 5 4 7 6 2 0
1 3 1 5 6 0
7 3 1 5 6 2 4 7 0
2 3 1 5 6 4 7 2 0
1 3 1 5 6 7 2 4 0
1 3 1 5 6 7 4 2 0
23 3 1 5 7 0
2 3 1 5 7 2 4 0
18 3 1 5 7 2 4 6 0
3 3 1 5 7 2 6 4 0
1 3 1 5 7 4 0
2 3 1 5 7 4 2 0
43 3 1 5 7 4 2 6 0
3 3 1 5 7 4 6 2 0
2 3 1 5 7 6 0
7 3 1 5 7 6 2 4 0
